label,text
True,Espaço dedicado para os eleitores do Bolsonaro explicarem a retirada da INSULINA do SUS.
True,"Vos apresento a funcionária protegida pela Globo, Miriam terrorista comunista Leitão! Vulgo Amélia."
True,Você sabia que Benedita da Silva já foi embaixadora em News York e nem inglês falava! Elá lembrado do escândalo do aluguel da limusine nos USA por Benedita Percebo que a petralhada tem uma síndrome do esquecimento oportuno! Mas nós estamos ajudando a lembrar!
True,QUEM  A MULHER QUE EMPURROU O PADRE MARCELO ROSSI
True,"As crueldades da Reforma da PrevidênciaPessoas com síndrome de down, autismo, esquizofrenia e transtornos considerados de moderados a médio perdem o direito a pensão após morte de pais ou responsáveis."
True,"Aprovada a redução do PIS de R$ 998,00 para R$ 468,00. Parabéns trabalhador e pobre que votou e pediu para se ferrar. Faz arminha!"
True,"Câncer no seio não precisa mais fazer cirurgia. Presidente Bolsonaro vai autorizar a importação dessa tecnologia de Israel. Embora chamado de machista, foi o único presidente que se lembrou em primeiro lugar das mulheres Vamos divulgar!"
True,"Vc sabia que a Zélia Cardoso, antes de ser ministra, foi embaixadora do Brasil, nos EUA, sem falar inglês Não, vc não se preocupava com o Brasil antigamente. Só agora, já que ele está sendo colocado nos trilhos!"
True,Achado petróleo no mato grosso para 80 anos de consumo e pode agora nosso combustível reduzir para 2.70 o litro vamos divulgar valeu Bolsonaro....
True,"Só para lembrar, o PT nomeou embaixador nos EUA o Aloísio Nunez. Ex motorista do terrorista assassino Marighella."
True,Saída do Maracanã. Não viste na Globo Nem verás.
True,"Ué, não foi esse tal de Glauber Braga que chamou Moro de LADRO Então, quer dizer que além de bater em mulher, ele ameaçava liberar fotos íntimas, segundo a feminazi lelis Patricia"
True,Tite fala em entrevista à Globo: Eleitores de Bolsonaro são alienados
True,Sergio Moro quando era Juiz cobrava R$ 80 mil dólares pra arquivar processos de narcotraficante. Tá na Veja página 35.
True,"Tá aí o dono da revista VEJA, André Esteves, preso pela operação Lava Jato."
True,Jean Wyllys: Não foi isso o acordo @ggreenwald [...]
True,Esse é o deputado que chamou Moro de ladrão
True,"Em meio a ataques na Câmara, Sérgio Moro dispara: Se eu falar a verdade vou ter que prender todos e fechar o congresso!"
True,"Durante os governos Lula, Dilma e Temer, os aviões que transportavam homens da comitiva presidencial, bem como a tripulação, não tinham a permissão do Itamaraty para serem revistados. O sargento que foi preso na Espanha com 39 kg de cocaína em seu container de mão, já havia participado em de 56 voos de preparação do presidente Lula, 52 da PresidentA Dilma e 2 do Temer. Só foi preso agora porque sem comunicação prévia, o governo Bolsonaro retirou a inviolabilidade de bagagens diplomáticas nas comitivas presidenciais. Isso a imprensa não informa."
True,Maria do Rosário e a esquerda iniciam namoro com MBL.
True,Olha quem está ao lado do Queiroz nesse almoço: o sargento dos 39 kg.
True,"Quê que é isso, BRASIIIIIIIIIIIIIIIL"
True,"Sem nudez, sem drogas, sem vandalismo. Pátria amada Brasil."
True,Sergio Moro é bom pra burro!
True,Quem foi que disse que #Bolsonaro ficaria isolado no G20
True,Militar preso com os 39 quilos de cocaína em avião presidencial. Só coincidência.
True,"Sargento Manoel Silva Rodrigues da comitiva do bozo, preso pelo tráfico de drogas na Espanha, é pastor evangélico filiado ao PSL."
True,Militar preso da FAB. O militar detido por drogas é filiado ao PT. Pronto! Resolvido o mistério.
True,Olha o motivo porque a deputada Flordelis adotou mais de 50 crianças e todas maiores de 12 anos....5 salários pra casa uma das 51 crianças. Entenderam o aparelhamento da esquerda Tirem suas conclusões.
True,"Em áudio, Moro diz: será esse imbecil o presidente Dallagnol responde: infelizmente esta ameba é a nossa única escolha [o Bozo]."
True,BOMBSTICO! GRAMPO REVELA QUE LULA QUERIA O ASSASSINATO DE PALOCCI NA PRISO udio é verdadeiro!
True,"A Lava Jato é uma árvore podre e deve ser anulada. Todos os julgamentos e condenações, afirmou o Senador da Rede."
True,"ACM morreu em Julho de 2007, em um acidente de helicóptero. Poucas semanas antes fez um pronunciamento na tribuna do Senado, em plena vigência do 2 mandato de Lula, que até hoje não havia sido divulgado. Veja o que ele disse"
True,"Manifestação pacífica e democrática do PT, PSOL, CUT #sqn."
True,"Enquanto trabalhadores seguem para trabalhar, alguns grevistas pararam para telefonar"
True,Governador do estado do Maranhão substitui a bandeira nacional pela bandeira do partido comunista.
True,"Policial é esfaqueada por grevista pró-LulaManifestante esquerdista agride PM feminina com uma facada no pescoçoManifestação em São Paulo, baderneiro ataca policial com uma faca e atinge o pescoço, a policial passa bem. O vagabundo foi abatido."
True,ONU prevê que toda a humanidade seja chipada até 2030 e quem recusar será excluído da sociedade
True,"Comitê de Direitos Humanos manda soltar lésbicas que esquartejaram o menino Rhuan, de nove anos"
True,Bolsonaro autoriza Execução da dívida da Globo de mais de R$ 1 Bilhão de impostos sonegados
True,"Urgente! A invasão já seria crime, agora o Telegram confirma que o texto divulgado foi manipulado. Atitudes imediatas, tirar o site do ar e prender Glenn Greenwald!"
True,Adelio Bispo: o único brasileiro cujo sigilo telefônicobancário é protegido pela OAB
True,Funcionário do Congresso registrando a presença dos deputados que não foram trabalhar
True,Portal Transparência mostra que gestão Bolsonaro tem o maior orçamento para educação da história
True,"Nosso problema é outro, o Haddad, este vai ganhar força, vocês não conseguem fazer algo para impedir a candidatura"
True,Ele [Glenn Greenwald] e seu par sexual David Miranda - PSOL são acusados de atentar contra a segurança pública do Reino Unido.
True,BOMBA ! o fim de Gleisi Hoffmann! Vídeo que acaba com a petista de vez.Vazou um vídeo de reunião de cúpula; e a senadora petista diz que querem é desemprego em massa. Para deixar o povo revoltado. Assista esse vídeo é revoltante como somos somente peças de um jogo político.
True,Bolsonaro corta metade do Fundeb e professores terão salários reduzidos
True,"Déficit Previdência: R$ 149,7 bilhões. Dívidas de grandes empresas com o INSS - R$ 426,07 bilhões. A culpa é do trabalhador"
True,Ator americano Keanu Reeves salva gatos da eutanásia
True,Ciro Gomes choca o Brasil: Reconheço que a esquerda e o centrão querem atrasar este país. A partir de hoje estou com Bolsonaro.
True,"Resumo das manifestações de hoje: 1% educação, 4% maconha, 5% Não sabem porque estão ali, 90% Lula livre."
True,"Eu, Jair Messias Bolsonaro, digo: filho de pobre tem tara por fazer faculdade. Se não tem dinheiro pra pagar, não venha dar despesa para o governo. Faça outra coisa da vida"
True,Da série Bolsominions têm transtornos mentais.
True,"Presidente, sua onestidade me basta."
True,"Apoiamos: o fim da Previdência e do Ensino Universitário! A entrega da EMBRAER, da Petrobras, do BB, CEF, Correios etc."
True,Sou há favor dos corte na educassão governo já investi muinto.
True,"Presidente, sua onestidade me basta."
True,O Brasil é do povo brasileiro.
True,"&#39;Sabemos que não é fácil, mas estamos com vocês. Forca!&#39;"
True,Essa vai pra esquerdalha que diz que tem eleitor do Bolsonaro arrependido. Será
True,#BrasilNasRuas. Vitória-ES agora há pouco. Capixabas mostrando os canalhas de sempre que eles não impedirão a reconstrução do país.
True,"Ao ver pessoas aplaudindo Bolsonaro no Nordeste, me lembrei daquelas frases que diz, você pode dar banho no porco deixar ele limpinho que sempre ele vai querer voltar para a lama."
True,10 anos de contingenciamento na educação. Porque será que só nesse ano teve manifestação
True,"Esse gráfico mostra a involução do Brasil, ao longo dos anos, no ranking mundial de ensino do Pisa. Haddad foi Min. da Educação entre 2005 e 2012, período em que TODAS as áreas avaliadas sofreram um colapso."
True,Bolsonaro assina decreto que proíbe drogas em universidades e choca alunos.
True,A filha de Marielle vai ganhar pensão até seus 21 anos. E o filho do motorista Não!
True,Melhor do dia! O #idiota inútil #BOLSONARO assistiu no Museu de Dallas imagem do melhor #Presidente do #Brasil: #LULA...olha a cara dele e do #PauloGuedes de inveja e despeito
True,Charge publicada na revista americana Time. E de longe a melhor expressão que já vi sobre a nossa situação atual. Parabéns ao criador.
True,Policiais de 12 estados diz que vão parar em apoio à Bolsonaro.
True,Sérgio Moro: Meia dúzia de estudantes despreparados não vão atrapalhar o governo.
True,"Motivos da greve: 60% Lula livre, 20% lacrar, 19% baderna e 1% corte de verbas."
True,A Greve da Educação tem dois objetivos: Gritar: FORA BOLSONARO E LULA LIVRE.
True,O fardamento das universidades públicas.
True,"Por pressão da bancada evangélica, Lei Maria da Penha será revogada pela Ministra Damares."
True,"Essa imagens são de um filme novo da Disney para crianças, vamos ficar ligados, envie nos grupos do WhatsApp e seus amigos no face para alertar as famílias."
